ticker,q,fecha_earnings,retorno_pct,retorno_5d,direccion,target,eps_surprise_pct,eps_surprise_trend,eps_surprise_zscore,momentum_5d,momentum_20d,volatility_20d,momentum_agreement,score_positivo,score_negativo,score_neutral,polaridad,kw_positivos,kw_negativos,kw_ratio,kw_cat_enc,uncertainty_score,forward_guidance_score,text_length_log,question_density,negative_words_score,tiene_transcripcion
AAPL,2020-Q1,2020-01-28,4.98,0.3652,SUBE,0,10.6195,0.0,0.0933209814891575,-3.0684,6.5675,1.3268,0,0.2252,0.0161,0.7588,0.2091,1.0,0.0,0.5,1,1.7956,0.2762,6.5862,0.2093,0.0,1
AAPL,2020-Q2,2020-04-30,0.47,3.3833,SUBE,1,14.2857,10.6195,0.4238718610064222,4.2123,13.1503,2.867,1,0.1291,0.0167,0.8542,0.1124,1.0,1.0,0.0,0,0.6906,0.0,6.5862,0.1136,0.2762,1
AAPL,2020-Q3,2020-07-30,11.81,18.414,SUBE,1,25.0,12.4526,1.3898915239849365,-2.2951,4.2105,1.7631,0,0.1512,0.0738,0.775,0.0774,1.0,1.0,0.0,0,0.9589,0.274,6.5944,0.1818,0.137,1
AAPL,2020-Q4,2020-10-29,-2.1,3.2171,BAJA,1,4.2857,19.64285,-0.47774528895065793,-4.8516,-3.9807,2.5351,1,0.4234,0.0134,0.5632,0.41,2.0,0.0,0.6667,1,1.3514,0.2703,6.608,0.1458,0.0,1
AAPL,2021-Q1,2021-01-27,-4.24,-5.7159,BAJA,0,18.3099,14.64285,0.7867006344921502,11.9925,8.4792,2.1102,1,0.1431,0.0166,0.8404,0.1265,3.0,0.0,0.75,1,0.646,0.2584,6.6529,0.0784,0.0,1
AAPL,2021-Q2,2021-04-28,-0.68,-4.1024,BAJA,0,41.4141,11.297799999999999,2.869814930095987,0.9616,10.7093,1.36,1,0.5473,0.02,0.4328,0.5273,2.0,0.0,0.6667,1,0.9749,0.4178,6.5779,0.098,0.0,1
AAPL,2021-Q3,2021-07-27,-2.69,0.402,BAJA,0,28.7129,29.862,1.7246529555925008,4.5911,11.93,1.3615,1,0.1893,0.0328,0.7779,0.1565,2.0,0.0,0.6667,1,1.6129,0.4032,6.6134,0.1774,0.0,1
AAPL,2021-Q4,2021-10-28,0.64,-1.0552,SUBE,0,0.0,35.0635,-0.8641513509077637,-0.2747,4.2149,1.0185,0,0.0621,0.0375,0.9005,0.0246,0.0,1.0,-0.5,-1,1.0811,0.0,6.608,0.1111,0.2703,1
AAPL,2022-Q1,2022-01-27,6.66,8.5919,SUBE,1,11.1111,14.35645,0.13764448058104756,-3.9343,-10.932,1.2995,1,0.0854,0.0384,0.8762,0.047,0.0,4.0,-0.8,-1,1.5027,0.0,6.5971,0.1778,0.2732,1
AAPL,2022-Q2,2022-04-28,0.69,-4.1982,SUBE,0,6.2937,5.55555,-0.29670056523927624,-6.3745,-12.5112,1.7171,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2022-Q3,2022-07-28,3.65,5.3765,SUBE,1,4.3478,8.7024,-0.47214624644942443,2.4503,14.0789,1.5989,1,0.2217,0.0314,0.7469,0.1903,2.0,2.0,0.0,0,1.511,0.2747,6.5917,0.1277,0.0,1
AAPL,2022-Q4,2022-10-27,4.28,-4.0884,SUBE,0,1.5748,5.32075,-0.7221646821325228,3.8162,-0.327,2.2011,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2023-Q1,2023-02-02,6.24,0.0331,SUBE,0,-3.5897,2.9613,-1.187804859227857,2.5166,16.2789,1.3092,1,0.146,0.0199,0.8341,0.1261,0.0,1.0,-0.5,-1,0.6983,0.0,6.5751,0.1887,0.2793,1
AAPL,2023-Q2,2023-05-04,3.65,4.8013,SUBE,1,6.2937,-1.00745,-0.29670056523927624,2.2533,1.0988,1.2407,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2023-Q3,2023-08-03,-5.5,-6.9049,BAJA,0,5.8824,1.3520000000000003,-0.333784078617011,-0.9871,0.6533,0.8502,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2023-Q4,2023-11-02,1.54,2.7257,SUBE,0,5.036,6.08805,-0.41009695418937825,1.6774,0.1785,1.1093,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2024-Q1,2024-02-01,0.79,0.7813,SUBE,0,3.8095,5.459199999999999,-0.5206802976316142,-5.1928,-0.6679,1.3621,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2024-Q2,2024-05-02,8.32,6.6694,SUBE,1,1.3245,4.42275,-0.7447321593959485,0.1656,-0.2063,1.5869,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2024-Q3,2024-08-01,-1.0,-2.3127,BAJA,0,4.4776,2.567,-0.4604432558429816,1.6198,0.8217,1.4989,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AAPL,2024-Q4,2024-10-31,-3.12,0.695,BAJA,0,2.5,2.9010499999999997,-0.6387470634184937,-0.286,1.464,1.2102,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2020-Q4,2020-10-27,-7.09,-2.9158,BAJA,0,13.8889,0.0,0.7775644716868491,0.2805,3.46,2.443,1,0.114,0.0167,0.8694,0.0973,1.0,0.0,0.5,1,1.0139,0.507,6.672,0.1064,0.0,1
AMD,2021-Q1,2021-01-26,-5.62,-6.1767,BAJA,0,8.3333,13.8889,0.10962841149976882,6.7113,2.8181,2.2674,1,0.509,0.0154,0.4756,0.4936,2.0,0.0,0.6667,1,1.8106,0.4178,6.5779,0.12,0.0,1
AMD,2021-Q2,2021-04-27,-1.63,-7.7456,BAJA,0,18.1818,11.1111,1.2936892309886554,5.3014,10.3346,2.8449,1,0.9547,0.0175,0.0278,0.9372,4.0,0.0,0.8,1,0.9288,0.4644,6.4723,0.0244,0.0,1
AMD,2021-Q3,2021-07-27,6.65,23.6515,SUBE,1,16.6667,13.257549999999998,1.111532501780389,6.0522,7.2413,2.0467,1,0.174,0.0107,0.8153,0.1633,1.0,0.0,0.5,1,0.5141,0.2571,5.9661,0.1111,0.0,1
AMD,2021-Q4,2021-10-26,-0.07,3.8233,BAJA,1,10.6061,17.424249999999997,0.38288153944152054,5.0932,13.1287,1.7602,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2022-Q1,2022-02-01,7.45,9.8048,SUBE,1,21.0526,13.636399999999998,1.638838421280446,-1.9566,-20.6046,3.879,1,0.0813,0.0376,0.8811,0.0437,1.0,1.0,0.0,0,1.7426,0.6702,6.6161,0.0952,0.0,1
AMD,2022-Q2,2022-05-03,10.66,-2.6336,SUBE,0,22.8261,15.829350000000002,1.852061943985786,-0.9373,-16.9609,3.5175,1,0.8536,0.0819,0.0644,0.7717,5.0,2.0,0.375,1,0.3215,0.3215,6.4345,0.0,0.4823,1
AMD,2022-Q3,2022-08-02,1.35,-3.7768,SUBE,0,0.9615,21.939350000000005,-0.7766648868815252,10.5552,31.3696,2.7166,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2022-Q4,2022-11-01,-2.38,7.0231,BAJA,1,-4.2857,11.8938,-1.4075227771208598,2.3169,-9.1514,4.1743,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2023-Q1,2023-01-31,16.83,14.318,SUBE,1,2.9851,-1.6621000000000001,-0.5333724591699234,-5.3312,11.7711,3.2326,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2023-Q2,2023-04-25,-1.86,7.2912,BAJA,1,7.1429,-0.6503000000000001,-0.03349043903783286,-2.5593,-10.5972,1.5897,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2023-Q3,2023-08-01,-4.41,-3.716,BAJA,0,1.7544,5.064,-0.6813364791267668,3.4265,0.4302,1.944,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2023-Q4,2023-10-31,12.33,15.1777,SUBE,1,2.9412,4.44865,-0.5386504476936135,-3.8296,-6.8655,2.5053,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2024-Q1,2024-01-30,-5.7,-2.4294,BAJA,0,0.0,2.3478,-0.89226365602795,5.7379,19.5415,3.6025,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2024-Q2,2024-04-30,-9.94,-2.494,BAJA,0,1.6393,1.4706,-0.695174667716214,7.7772,-12.6214,3.2322,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2024-Q3,2024-07-30,3.38,-5.9665,SUBE,0,1.4706,0.81965,-0.7154570518607818,-10.3419,-13.8463,3.7587,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMD,2024-Q4,2024-10-29,-7.08,-14.791,BAJA,0,0.0,1.5549499999999998,-0.89226365602795,1.2793,-2.5354,2.3358,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AMZN,2020-Q2,2020-04-30,-3.65,-4.3003,BAJA,0,-19.3548,0.0,-0.38772507827776226,0.3901,21.6949,2.5376,1,0.378,0.033,0.5891,0.345,1.0,0.0,0.5,1,0.4155,0.1385,6.5834,0.08,0.0,1
AMZN,2020-Q3,2020-07-30,4.32,5.6726,SUBE,1,550.0,-19.3548,2.2654040506002544,-2.1414,9.9575,2.9717,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
