ticker,fecha_earnings,precio_antes,precio_despues,retorno_pct,direccion,momentum_5d,momentum_20d,volatility_20d
AAPL,2020-01-28,74.47,78.18,4.98,SUBE,-3.0684,6.5675,1.3268
AAPL,2020-04-30,69.52,69.85,0.47,SUBE,4.2123,13.1503,2.867
AAPL,2020-07-30,92.11,102.98,11.81,SUBE,-2.2951,4.2105,1.7631
AAPL,2020-10-29,107.96,105.69,-2.1,BAJA,-4.8516,-3.9807,2.5351
AAPL,2021-01-27,139.23,133.33,-4.24,BAJA,11.9925,8.4792,2.1102
AAPL,2021-04-28,130.9,130.01,-0.68,BAJA,0.9616,10.7093,1.36
AAPL,2021-07-27,145.36,141.45,-2.69,BAJA,4.5911,11.93,1.3615
AAPL,2021-10-28,145.44,146.37,0.64,SUBE,-0.2747,4.2149,1.0185
AAPL,2022-01-27,156.26,166.67,6.66,SUBE,-3.9343,-10.932,1.2995
AAPL,2022-04-28,153.4,154.46,0.69,SUBE,-6.3745,-12.5112,1.7171
AAPL,2022-07-28,153.85,159.46,3.65,SUBE,2.4503,14.0789,1.5989
AAPL,2022-10-27,146.75,153.03,4.28,SUBE,3.8162,-0.327,2.2011
AAPL,2023-02-02,143.13,152.06,6.24,SUBE,2.5166,16.2789,1.3092
AAPL,2023-05-04,165.06,171.09,3.65,SUBE,2.2533,1.0988,1.2407
AAPL,2023-08-03,190.09,179.64,-5.5,BAJA,-0.9871,0.6533,0.8502
AAPL,2023-11-02,171.95,174.6,1.54,SUBE,1.6774,0.1785,1.1093
AAPL,2024-02-01,182.5,183.94,0.79,SUBE,-5.1928,-0.6679,1.3621
AAPL,2024-05-02,167.77,181.73,8.32,SUBE,0.1656,-0.2063,1.5869
AAPL,2024-08-01,220.38,218.17,-1.0,BAJA,1.6198,0.8217,1.4989
AAPL,2024-10-31,228.6,221.46,-3.12,BAJA,-0.286,1.464,1.2102
MSFT,2020-01-29,156.74,163.68,4.42,SUBE,-0.6246,4.089,1.1378
MSFT,2020-04-29,161.3,170.23,5.54,SUBE,1.1858,5.9789,2.8919
MSFT,2020-07-22,198.85,192.93,-2.97,BAJA,0.192,4.0784,1.8766
MSFT,2020-10-28,203.62,195.48,-4.0,BAJA,-0.6522,2.8901,1.7214
MSFT,2021-01-26,219.74,222.97,1.47,SUBE,7.9379,3.8503,1.5992
MSFT,2021-04-27,250.97,244.27,-2.67,BAJA,1.086,10.6013,1.2577
MSFT,2021-07-27,278.0,275.28,-0.98,BAJA,4.3464,9.0672,0.8976
MSFT,2021-10-26,296.92,311.41,4.88,SUBE,0.2733,4.7455,1.1431
MSFT,2022-01-25,286.11,286.44,0.11,SUBE,-4.4584,-11.4494,1.5164
MSFT,2022-04-26,271.56,273.98,0.89,SUBE,0.0713,-7.5606,1.9475
MSFT,2022-07-26,250.97,260.58,3.83,SUBE,1.8014,-3.3134,1.6515
MSFT,2022-10-25,240.25,224.77,-6.44,BAJA,4.0921,4.1272,2.5016
MSFT,2023-01-24,236.38,234.46,-0.81,BAJA,1.4003,-0.7569,1.9853
MSFT,2023-04-25,275.25,288.54,4.83,SUBE,-2.4342,0.4277,1.3126
MSFT,2023-07-25,337.86,330.68,-2.13,BAJA,-0.1793,3.0117,1.474
MSFT,2023-10-24,323.09,334.22,3.45,SUBE,-0.9981,3.7098,1.24
MSFT,2024-01-30,402.78,390.85,-2.96,BAJA,3.3316,9.1772,0.8739
MSFT,2024-04-25,402.88,400.18,-0.67,BAJA,-0.675,-2.9859,1.0813
MSFT,2024-07-30,421.04,412.77,-1.96,BAJA,-3.6596,-4.524,1.4569
MSFT,2024-10-30,426.96,401.65,-5.93,BAJA,1.0386,2.6765,0.8237
GOOGL,2020-04-28,63.02,66.56,5.61,SUBE,0.7699,14.4651,2.9653
GOOGL,2020-07-28,75.84,75.55,-0.39,BAJA,-2.2004,12.2484,1.4503
GOOGL,2020-10-29,74.92,80.14,6.97,SUBE,-4.7409,3.0841,2.2367
GOOGL,2021-02-02,93.88,102.1,8.76,SUBE,-0.0639,8.0125,2.3037
GOOGL,2021-04-27,114.55,116.99,2.13,SUBE,0.8809,14.0858,1.4065
GOOGL,2021-07-27,132.94,134.98,1.54,SUBE,7.5912,9.4087,1.2058
GOOGL,2021-10-26,136.32,145.02,6.38,SUBE,-3.7338,-2.5696,1.4689
GOOGL,2022-02-01,134.19,146.79,9.38,SUBE,3.4399,-6.5919,1.9182
GOOGL,2022-04-26,122.07,113.36,-7.13,BAJA,-3.6048,-13.1281,2.0224
GOOGL,2022-07-26,106.63,112.13,5.16,SUBE,-1.3941,-8.8705,2.6213
GOOGL,2022-10-25,101.68,94.15,-7.4,BAJA,2.5508,4.4311,1.9678
GOOGL,2023-02-02,99.61,103.92,4.33,SUBE,5.4715,12.6908,2.1197
GOOGL,2023-04-25,105.1,102.86,-2.13,BAJA,0.0,0.5026,1.6446
GOOGL,2023-07-25,120.53,128.21,6.37,SUBE,-2.503,-0.6621,1.6617
GOOGL,2023-10-24,135.38,124.58,-7.98,BAJA,-1.8692,4.111,1.334
GOOGL,2024-01-30,152.25,138.95,-8.74,BAJA,5.151,9.4701,1.1223
GOOGL,2024-04-25,157.83,170.54,8.06,SUBE,2.3542,5.6149,1.4212
GOOGL,2024-07-23,180.39,171.41,-4.98,BAJA,-2.6055,1.1357,1.5557
GOOGL,2024-10-29,165.76,173.46,4.64,SUBE,1.6152,0.5246,1.0426
META,2020-04-29,181.49,203.12,11.92,SUBE,7.0902,10.22,3.1362
META,2020-07-29,228.33,232.67,1.9,SUBE,-4.8108,4.2966,1.8123
META,2020-10-29,265.59,261.06,-1.7,BAJA,-3.968,2.2031,2.5626
META,2021-01-27,279.85,262.94,-6.05,BAJA,8.0237,5.4787,2.107
META,2021-04-28,301.21,326.94,8.54,SUBE,0.304,4.3842,1.4695
META,2021-07-28,364.95,355.53,-2.58,BAJA,7.6538,3.422,1.6665
META,2021-10-25,322.08,313.35,-2.71,BAJA,-0.0462,-8.0321,2.1668
META,2022-02-02,316.52,235.91,-25.47,BAJA,6.2802,-5.7718,2.4168
META,2022-04-27,179.54,204.13,13.69,SUBE,-16.7319,-19.0706,2.8794
META,2022-07-27,157.91,159.47,0.99,SUBE,-9.4607,-6.1007,3.4454
META,2022-10-26,136.44,97.18,-28.78,BAJA,3.5467,2.314,2.7697
META,2023-02-01,147.81,187.3,26.72,SUBE,4.073,23.791,1.9815
META,2023-04-26,205.93,236.7,14.94,SUBE,-4.7455,2.322,1.4504
META,2023-07-26,292.18,309.28,5.85,SUBE,-5.6337,5.7457,1.9097
META,2023-10-25,310.12,286.1,-7.74,BAJA,-3.534,4.5458,1.816
META,2024-01-31,396.94,391.71,-1.32,BAJA,3.8577,13.0241,1.2639
META,2024-04-24,492.76,438.41,-11.03,BAJA,-0.7323,-1.3757,1.8736
META,2024-07-31,460.53,494.88,7.46,SUBE,-5.218,-8.2211,2.8824
META,2024-10-30,590.43,564.86,-4.33,BAJA,1.9364,2.916,1.4701
NFLX,2020-04-21,43.75,42.14,-3.67,BAJA,10.2768,31.4455,3.4077
NFLX,2020-07-16,52.33,49.3,-5.78,BAJA,4.0734,19.978,3.155
NFLX,2020-10-20,53.07,48.9,-7.85,BAJA,-1.6839,8.8991,2.8494
NFLX,2021-01-19,49.8,58.63,17.74,SUBE,-2.4334,-5.1159,1.9257
NFLX,2021-04-20,55.44,50.89,-8.21,BAJA,0.3003,8.251,1.7193
NFLX,2021-07-20,53.23,51.36,-3.5,BAJA,-0.9361,6.2923,1.1736
NFLX,2021-10-19,63.8,62.51,-2.01,BAJA,1.7431,10.8684,1.7072
NFLX,2022-01-20,51.59,39.75,-22.94,BAJA,-4.6187,-13.1169,1.555
NFLX,2022-04-19,33.79,22.62,-33.05,BAJA,-5.0635,-11.2296,2.285
NFLX,2022-07-19,19.09,21.64,13.37,SUBE,7.6576,10.1356,3.4307
