ticker,q,date,sentimiento,score_positivo,score_negativo,score_neutral,polaridad,kw_positivos,kw_negativos,kw_ratio,kw_categoria
AAPL,2020-Q4,"Oct 29, 2020, 5:00 p.m. ET",neutral,0.4234,0.0134,0.5632,0.41,2,0,0.6667,positivo
NVDA,2019-Q3,"Nov 14, 2019, 5:30 p.m. ET",neutral,0.0924,0.0246,0.883,0.0678,0,2,-0.6667,negativo
GOOGL,2021-Q3,"Oct 26, 2021, 4:30 p.m. ET",neutral,0.179,0.0116,0.8094,0.1674,1,0,0.5,positivo
GOOGL,2021-Q1,"Apr 27, 2021, 5:00 p.m. ET",positive,0.6907,0.0127,0.2966,0.678,4,1,0.5,positivo
AMZN,2020-Q4,"Feb 02, 2021, 5:30 p.m. ET",neutral,0.1206,0.3612,0.5182,-0.2406,0,1,-0.5,negativo
META,2022-Q1,"Apr 27, 2022, 5:00 p.m. ET",neutral,0.1539,0.0183,0.8279,0.1356,0,4,-0.8,negativo
NVDA,2021-Q4,"Feb 24, 2021, 5:00 p.m. ET",neutral,0.0582,0.0304,0.9114,0.0278,0,0,0.0,neutral
AAPL,2020-Q1,"Jan 28, 2020, 5:00 p.m. ET",neutral,0.2252,0.0161,0.7588,0.2091,1,0,0.5,positivo
NVDA,2020-Q2,"Aug 15, 2019, 5:30 p.m. ET",neutral,0.0774,0.0202,0.9024,0.0572,0,0,0.0,neutral
TSLA,2020-Q1,"Apr 29, 2020, 6:30 p.m. ET",neutral,0.0736,0.019,0.9074,0.0546,0,0,0.0,neutral
TSLA,2021-Q4,"Jan 26, 2022, 5:30 p.m. ET",neutral,0.0435,0.0273,0.9292,0.0162,0,0,0.0,neutral
GOOGL,2020-Q1,"April 28, 2020, 4:30 p.m. ET",neutral,0.2372,0.1344,0.6284,0.1028,0,1,-0.5,negativo
META,2020-Q4,"Jan 27, 2021, 5:00 p.m. ET",neutral,0.1014,0.0464,0.8522,0.055,1,2,-0.25,negativo
AAPL,2021-Q3,"Jul 27, 2021, 5:00 p.m. ET",neutral,0.1893,0.0328,0.7779,0.1565,2,0,0.6667,positivo
AMD,2020-Q4,"Jan 26, 2021, 5:00 p.m. ET",neutral,0.114,0.0167,0.8694,0.0973,1,0,0.5,positivo
GOOGL,2022-Q4,"Feb 02, 2023, 4:30 p.m. ET",neutral,0.1772,0.189,0.6338,-0.0118,0,2,-0.6667,negativo
AMD,2022-Q2,"Aug 02, 2022, 5:00 p.m. ET",positive,0.8536,0.0819,0.0644,0.7717,5,2,0.375,positivo
MA,2021-Q4,"Jan 27, 2022, 9:00 a.m. ET",neutral,0.1957,0.0758,0.7285,0.1199,2,2,0.0,neutral
