ticker,date,q,texto
AAPL,"Oct 29, 2020, 5:00 p.m. ET",2020-Q4,"the reception that we've gotten so far, we're very confident there. Shannon Cross -- Cross Research -- Analyst OK, great. And then, can you talk a bit about just overall in the world -- the cadence that you see sort of for the 5G adoption launch? What you see will be sort of the key drivers? Obviously, there's a fair amount of subsidies going on in the U.S. at this point. Thank you. Tim Cook -- Chief Executive Officer Yeah, we're working hard to provide the best experience for our iPhone users. To do so, we've been collaborating closely with carriers all around the world to ensure iPhone has great throughput and coverage and battery and call quality. We've completed 5G testing so far on over 100 carriers, in over 30 regions. And so it's pretty pervasive around the world. But grantedly, it will continue to roll out in more places as carriers continue to expand their coverage, and this will happen every week. And so it's just going to get better. There are obvious places in the world where it's more ahead than in others, but we feel like we are entering at -- sort of at exactly the right time. Tejas Gala -- Senior Analyst, Corporate Finance, and Investor Relations Thanks, Shannon. Shannon Cross -- Cross Research -- Analyst Thank you. Tejas Gala -- Senior Analyst, Corporate Finance, and Investor Relations Thank yoyou. Can we have the next question, please? Operator That will be from Jeriel Ong with Deutsche Bank. Jeriel Ong -- Deutsche Bank -- Analyst Yes, thank you so much. I guess, I appreciate the guidance for revenues to grow. But I guess, my question, perhaps if I could, is relative to seasonality. You guys, over the last five years, your seasonality is typically up about 50% quarter on quarter. Do you think that you can beat that even with the later release? And I have a follow-up. Luca Maestri -- Chief Financial Officer So as I said, Jeriel, we're not providing a range for the reasons that I explained during my prepared remarks. So you need to keep in mind a couple of things that are unique about this quarter versus the past. And then, I mentioned again, the launch timing of the phones is different from the past. So we're launching the new iPhones four weeks into the quarter for two models, for the 12 and the 12 Pro; and seven weeks into the quarter for the other two, the iPhone mini and the 12 Pro Max. So that is something to keep in mind as you think about the growth rates. With regard to all the other product categories, as I said, we are expecting to grow double digits essentially across the board for the rest of our products and for services. And so we are incredibly optimistic about what we are seeing so far. Obviously, we started taking preorders five days ago, and so it's a bit early for the phone. But we think that there are a lot of tailwinds this year for iPhone, for the entire cycle, some of the comments that Tim has already made, right? We've got the best lineup of iPhones that we've ever had. We've got an installed base of iPhone that is very large, continues to grow. It's at an all-time high. Obviously, 5G is a once-in-a-decade opportunity. And as you've seen in some markets, certainly here in the United States, carrier offers are very aggressive. And so that is very good for consumers and ultimately very good for us. So very, very optimistic, given what we've seen so far. Jeriel Ong -- Deutsche Bank -- Analyst Awesome. Thank you so much for that context and giving us some of the levers to think about. I'd like to ask a little bit more of a strategic one, a little bit longer term in nature. I think the one thing that's interesting about the Apple One bundle is the desire to bundle in the first place. I guess, I'm wondering, and some investors have asked me this as well, is that why wouldn't you also take that rationale perhaps to hardware, perhaps maybe AirPods and iPhone or AirPods, Watch and iPhone? Because if it makes sense to bundle services, wouldn't it also make sense to bundle hardware? And if that's not the case, then are there benefits of services bundling that don't necessarily translate to h"
NVDA,"Nov 14, 2019, 5:30 p.m. ET",2019-Q3,"recently ventured into and we've been building this platform called EGX for some time. And it's cloud native, it's incredibly secure you can manage it from afar, it's -- the stack is complicated, its performance and we saw some, we've been working with some early adopters and this last quarter we announced some of them, Walmart and BMW and Procter & Gamble and the largest logistics company in the world USPS. And so this new platform, I think, long term will likely be the largest opportunity. And the reason for that is because that the industries that it serves Operator And your next question comes from the line of Harlan Sur with JPMorgan. Harlan Sur -- JPMorgan -- Analyst Good afternoon. Thanks for taking my question. There are a lot of concerns around China, trade tensions, economic slowdown, but history has shown that gamers tend to be less sensitive to these macro trends, and in fact, also somewhat insensitive to price changes, at least at the enthusiast level. So, given that China is such a big part of the gaming segment, can you just discuss the gaming demand trends out of this geography? Jensen Huang -- Founder, President and Chief Executive Officer Gaming is solid in China and is also the fastest adopter of our gaming notebooks. This gaming RTX notebooks or GeForce notebooks is really a brand new category. This category never existed before because we couldn't get the technology in there. So that it's both delightful to own as well as a powerful to enjoy. And so we saw a really great success with RTX notebooks and GeForce notebooks in China and RTX adoption has been fast your. Your comments makes sense because most of the games are free to play these days. The primary games that people play are eSports, which you want the best gear, but you could. And after you buy the gear you pretty much enjoy forever and mobile which is largely free to play, you invest in invest in some of your own personal outfits and after that I think you can enjoy for quite a long time. And so the gear is the gear is really important. One of the areas where we've done really great work, particularly in China has to do with social. We have this platform called GeForce Experience and as an extension of that there is a new feature called RTX Broadcast Engine, and it basically applies AI to broadcasting your content to share it, you could make movies, you could capture your favorite scenes and turn it into art applying AI and one of the coolest features is that you could overlay yourself on top of the game and share it with all the social networks without the green screen behind you. We use AI to stitch you out basically cut you out of the background. And irrespective of what noisy background you've got. And so, as you know, China is really a super hyper social community -- communities back there and they all kinds of really our core social platforms to share games, user-generated content and short videos and all kinds of things like that. And so GeForce has that one additional feature that really makes it successful. Harlan Sur -- JPMorgan -- Analyst Great. Thank you. Operator And your next question comes from the line of Toshiya Hari with Goldman Sachs. Toshiya Hari -- Goldman Sachs -- Analyst Hi, guys. Thanks for taking the question. I wanted to ask on automotive, Colette, in your prepared remarks you talked about your legacy infotainment business being down in the quarter. Just curious what percentage of automotive revenue at this point is legacy infotainment versus the newer AI/ADAS solutions. And more importantly, Jensen, if you can speak to the growth trajectory in automotive over the next year and a half maybe two that would be appreciated. And I do ask the question, because it feels like we've heard many, many announcements, customer announcements collaborative work that you're doing with customers. Yeah, we haven't quite seen sort of the hockey stick inflection that some of us were expecting a couple of years ago. So, just kind of curious when we should -- how we should set our expectations going forward. Thank you. Colette Kress --"
GOOGL,"Oct 26, 2021, 4:30 p.m. ET",2021-Q3,"ver the years? And what do you envision a hardware and software integrated Google meaning to the consumer over the longer term? And I guess, Philipp, if you look at some of the emerging and developing markets today, some of the companies there around the world have had to play multiple roles in helping to solve for transactional friction by rolling out payments, logistics and other solutions that we probably take for granted here in the States. So do you think Google should or could play a more expansive role in India and some of the other emerging markets to help accelerate the growth of e-commerce versus the role that you played in the U.S. and the West? Thanks. Sundar Pichai -- Chief Executive Officer Overall, hardware and computing, obviously, we have been doing this for a while now. If you look at the Google Tensor bet, these are multiyear bets, which finally play out and I couldn't be more excited that the reception for Pixel 6 and Google Tensor. And I think lays a good foundation of what we want to do in the future. We definitely have a long-term view on where computing is headed. We want to make sure and to innovate there, you have to think at the intersection of user experience, software and hardware. I think we have a unique perspective to bring a unique point of view with our AI-first approach and applying that to bring new features and new experiences. So we'll be doing it to push computing forward. We want to guide our ecosystem when we do well in a category, the whole ecosystem benefits from it. And finally, we are going to be doing this with a view toward building a sustainable business. And -- we see this as an important area, and we are investing with that viewpoint. And I'm really excited with what Google Tensor and the Pixel 6 team has been able to accomplish and just as a start. Philipp Schindler -- Senior Vice President/Chief Business Officer So on the second part of your question, look, every e-commerce experience is also payment experience. And friction checkout can take the joy out of a purchase. I think we've all been there. So think about Google Pay as a checkout facilitator. We want to make it even easier for consumers to access whatever payment method they really want credit card, PayPal, Shop Pay and so on and so on. And to the global nature of your question, 150 million people across 40 countries are now using Google Pay to manage transactions and stay on top of their finances. And millions of merchants are using it to provide their customers with a simple and safe way to check out and whether it's in store or online or via their app. So right now, we continue to be very focused on helping both merchants and financial institutions create more intuitive digital experiences and connect with our customers. In the U.S., we're partnering with merchants to surface, we call card-linked offers and coupons within Google Pay. And in August, we announced the partnership with Setu fintech company in India. That was a part your question to help uses open fixed deposit accounts directly from Google Pay. So we think there's much more that we can do for both consumers and our partners. So stay tuned on this one. Stephen Ju -- Credit Suisse -- Analyst Thank you. Operator Thank you. And that concludes our question-and-answer session. I'd like to turn the conference back over to Jim Friedland, for any closing remarks. James Friedland -- Director of Investor Relations Thanks, everyone, for joining us today. We look forward to speaking with you again on our fourth quarter 2021 call. Thank you, and have a good evening Operator [Operator Closing Remarks] Duration: 54 minutes Call participants: James Friedland -- Director of Investor Relations Sundar Pichai -- Chief Executive Officer Philipp Schindler -- Senior Vice President/Chief Business Officer Ruth Porat -- Senior Vice President and Chief Financial Officer Eric Sheridan -- Goldman Sachs -- Analyst Brenda -- Morgan Stanley -- Analyst Doug Anmuth -- JPMorgan -- Analyst Justin Post -- Bank of America -- Analyst Mark Mahaney -- ISI -- Analyst Brent Thill -- Jeffer"
GOOGL,"Apr 27, 2021, 5:00 p.m. ET",2021-Q1,"or the past four years, and we are working toward operating on carbon-free energy around the clock by 2030, a far more ambitious goal that we hope will be transformative for the industry. Five of our data centers in Europe and North America are already operating near or at 90% carbon-free energy around the clock. We are also working toward our commitment to help one billion people make more sustainable choices with our services by 2022. One example of how we are doing this is the new AI-powered feature in Maps that will show the route with the lowest carbon footprint when ETAs are the same. You'll also be able to compare the carbon impact between routes. Finally, as we look ahead to the rest of 2021, our four big themes continue to guide us: first, building and providing the most helpful products and services; second, continuing to earn the trust of our users by investing in high-quality information and keeping users' data safe and private; third, strong execution as a company, particularly as we start to reopen our offices; and fourth, building sustainable value in our own business and for our partners. As always, thank you to our Googlers around the world for a great start to the year. To everyone, I look forward to seeing you at IO. Over to Philipp. Philipp Schindler -- Chief Business Officer Thanks, Sundar, and good afternoon, everyone. It's great to be joining you again today. We're pleased with the strong growth in Google Services revenues in the first quarter. Year-on-year performance reflects elevated consumer online activity, broad-based strength in advertiser spend, and lapping of the initial impact of the pandemic on advertising revenues that began in March last year. In the first quarter in Search, we saw sustained strength across most categories led by retail. We also saw strong performance in tech and CPG. In YouTube, we had phenomenal growth driven by direct response followed by continued strength in brand. We've seen great momentum in TrueView for Action ads, with a number of advertisers using the format doubling over the past year. In Network, exceptional growth was driven by AdMob and Ad Manager with particular strength in app campaigns. Google Other revenues were driven by growth in Google Play and YouTube's non-advertising revenues, followed by hardware. I would now like to take a few minutes to dive deeper into the trends we're seeing in our business. As Sundar touched on earlier, the pandemic is evolving in different ways across the world. Some countries are in advanced stages of reopening, others are facing reacceleration of cases. And there is everything in between. It's never been more important to help businesses navigate the pandemic as circumstances change. On travel, we're starting to see renewed interest from users as they turn to Google to plan their next trip even before they're ready to book. Every travel partners looking to understand where demand is going and we are helping them to find these opportunities through insights and automation. For American Airlines, for example, that meant using our insight tools to anticipate demand on untapped routes. These newly prioritized routes had significantly higher booking rate in Search this quarter compared to last quarter. Also just last month, we made it free for hotels and travel companies to list their bookings links, similar to what we did with shopping last year. For consumers, it means more choice. For hotels and travel companies, it means free exposure on Google. For advertisers, it means paid campaigns can be augmented with free listings. We are already seeing positive results across the board. Let me switch gears now and talk about retail, where we had a very strong quarter. As you know, we've taken important steps over the past year to accelerate an open retail ecosystem. We made product listings free, removed commission fees and opened our shopping platform to Shopify and PayPal. We're also helping retailers with some key opportunities, such as innovating an omnichannel as the line between digital and physical retail continues to blur"
AMZN,"Feb 02, 2021, 5:30 p.m. ET",2020-Q4,"more strongly with Prime benefits in 2020, and we think that will have a lasting impact both from the purchase frequency amount they purchase, use of digital benefits, etc. So, we are going to have to build probably for multiple scenarios and any on this upsy world. It's hard to turn that capacity on quickly, so generally means you may have to overbuild to protect the customer experience. On transportation, we made large investments in our transportation network in 2020. With that work's not done yet. We have a lot of continued expansion. So, we see that over definitely through 2021. I can't quantify it right now. Only -- I'm only giving guidance through Q1 right now, and we are still working -- through some of the plans as we do this time of year. And then infrastructure will remain a healthy part of our investment as well. We're supporting aid of U.S. business that is growing at a rapid clip both in usage and in revenue. We're expanding regions globally and have a lot of upside in that area talking with customers on their transition plants to the cloud. So, we definitely do not want to run out of capacity, and we work to not do that. So there could be a risk of forwarding spend in 2021 due to uncertainty, but we'll see them, as we move through the year. Operator Our next question comes from Doug Anmuth with JP Morgan. Please, proceed with your question. Doug, your line is open. Please, proceed with your question. Doug Anmuth -- J.P. Morgan -- Analyst Sorry. I muted. I apologize. Brian, I hope you could talk more about the importance of AMC Yellow Amazon logistics during the holiday season. If you could talk more about the percentage of packages, perhaps shipped from your fulfillment centers, and then where this can go in the coming years. And then also a quick comment on the COVID costs, you mentioned $2 billion in 1Q. Just curious how you think about it more on a full-year basis with some of the puts and takes that can be there. Thanks. Brian Olsavsky -- Chief Financial Officer Yeah. So, yeah for the full year were again $11.5 billion was our gross cost for 2020, $4 billion of that in Q4. We see a step down to closer to $2 billion in Q1 that compares with a $600 million spent last Q1 as the pandemic just started and we start reacting in March and, obviously, this cost escalated in Q2 and Q3. So, if we look at the core components of that right you know there's productivity that a lot of productivity drags from hiring, so many new employees, and also having a physical separation. That gets better all the time. It was exasperated a bit in Q4 because of all the new hires that we brought on over 170,000 new people that should moderate. That's why one of the reasons that we were -- we see a step down in Q1 versus Q4 volume related and also mix of employees. After that we're going to see again, hopefully, the vaccine gets going. Everyone gets vaccinated and we return it to normalcy that would be very helpful on a lot of fronts for everybody. And if not, there'll be a continuation of some of these costs. I will say that while we are very transparent, I try to be on the costs that we're seeing specifically around COVID. There are some positive things happening that counteract a bit of that. That's the least of which is the top line volume. In 2020, we grew 37% and an FX-Neutral basis versus growing 22% in 2019. And the fact that we've been running pretty full out since arguably in April but definitely into May has created operating efficiencies of its own as a counterbalance to the physical separation and the training of new employees. So there's a lot of moving parts in here. We're able to save about a billion dollars in transportation costs this year, excuse me in 2020 as virtually all travel was shut down and our sales teams found new ways to reach customers. We'll see how that develops over time. Marketing although it got back to probably more healthy levels in Q3 and Q4, definitely was lower in Q2 as we work through some capacity issues and it wasn't fruitful to invest in marketing when you're having trouble hitting exis"
META,"Apr 27, 2022, 5:00 p.m. ET",2022-Q1,"portant, both for our mission and business comparable and value to the leading mobile platforms today. Now I recognize that it's expensive to build this. It's something that's never been built before. And it's a new paradigm for computing and social connection. So over the next several years, our goal from a financial perspective is to generate sufficient operating income growth from family of apps to fund the growth of investment in Reality Labs, while still growing our overall profitability. Now unfortunately, that's not going to happen in 2022, given the revenue headwinds. But longer term, that is our goal and our expectation. Of course, our priority remains building for the long term. So while we're currently building our plans to achieve this, it is possible that prolonged macroeconomic or business uncertainty could force us to trade off against shorter-term financial goals. But we remain confident in our long-term opportunities and growth. Now with that, I want to dive deeper on what we're seeing in three of our main investment priorities that I expect to drive this growth: Reels, ads, and the Metaverse. So let's start with Reels. There are two key trends that we're seeing here. First, the increasing popularity of short-form video; and second, the advancement of AI recommendations driving more of our feeds rather than just social content. On the first point, since I started Facebook 18 years ago, we've seen multiple shifts in the media types that people use. And we started as a website primarily with text, then people got phones with cameras and the main format became images on mobile apps. In the last several years, mobile networks have gotten faster and now video is the main way that people experience content online. Short-form video is the latest iteration of this, and it's growing very quickly. Reels already makes up more than 20% of the time that people spend on Instagram. Video overall makes up 50% of the time that people spend on Facebook and Reels has grown quickly there as well. The second point is that while we're experiencing an increase in short-form video, we're also seeing a major shift in Feeds from being almost exclusively curated by your social graph or follow graph to now having more of your feed recommended by AI, even if the content wasn't posted by a friend or someone you follow. Social content from friends and people and businesses you follow will continue being a lot of the most valuable, engaging, and differentiated content for our services, but now also being able to accurately recommend content from the whole universe that you don't follow directly, unlocks a large amount of interesting and useful videos and posts that you might have otherwise missed. Overall, I think about the AI that we're building not just as a recommendation system for short-form video, but as a discovery engine that can show you all of the most interesting content that people have shared across our systems. In Facebook, that includes not just video, but also text posts, links, group posts, reshares, and more, on Instagram that includes photos as well as video. In the future, I think that people will increasingly turn to AI-based discovery engines to entertain them, teach them things and connect them with people who share their interests. And I believe that our investments in AI, all the different types of content we support, and our work to build the best platform for creators to make a living will increasingly set our services apart from the rest of the industry and drive our success. And we're also finding that having an ambitious vision around building the world's discovery engine is attracting a lot of the most talented AI folks to work on this program. Next, let's talk about Ads. Sheryl will discuss this in more detail, but I want to highlight that this is also a large AI investment for us. There are three main trends to highlight in our Ads business right now. First, we're managing headwinds from the shift to short-form video that I just mentioned. In the near term, this is a drag on revenue because real monetiz"
NVDA,"Feb 24, 2021, 5:00 p.m. ET",2021-Q4,"t's a computer that is writing software. The way that you develop software is completely different, the way compute is different and that was our first phase and that started in the journey that was some eight, nine years ago now. The second phase was the adoption of using this in an industrial way for clouds and we strongly revolutionized these services whether it's speech oriented services or search oriented services, just recommender services, the way you shop, the way you use the Internet is completely different to and so that's really the second phase and those two phases are still continuing to grow and you're still seeing the growth associated with that. The third phase is the industrialization of AI and some of the great examples when I say kind of the smartphone moment, I meant that it's a device with AI, its autonomous and its connected to a cloud service and its continuously learning. So some of the exciting example that I saw -- that I've seen and we're working with, with companies all over the world, we have some 7,000 AI start-ups that we're working with and almost all of them are developing something like this and large industrial companies whether it's John Deere or Walmart, they are all developing applications kind of like this and basically it's an autonomous system, autonomous machine. In our case, it's called Jetson, it's a robotics machine. If that robotics machine is a car, then its called DRIVE and it's running an autonomous -- an AI application on top, an AI skill on top and it could be moving things around, it could be picking and placing, it could be just watching a warehouse and monitoring traffic and keeping traffic flow going. It could be connected to a car and whenever the car -- whenever the fleet of cars needs to be retrained because of the new circumstance that was discovered, the cloud service would do the relearning and then would deploy it into all of the autonomous devices. And so in the future we're seeing that these industries whether you're in retail or in logistics or transportation or farming, ag tech to lawnmowers -- consumer lawnmowers. They're not going to just be products that you buy and use from that point forward, but they will likely be a connected device with an AI service that runs on top of it and so these industries are so excited about it because it gives them an opportunity to change the way that they interact with their customers. Rather than selling something once, they sell something and provide a service that's on top of that and they could stay engaged with the customers. The customers could get a product that's improving all of the time just like your smartphone and that's kind of like -- that's kind of the reason, that's the reason why I've been calling it the smartphone moment for all these industries and we saw what happened to the smartphone revolution and then we saw what happened to the smart microphone, the smart speaker revolution. You're going to see smart lawnmowers, smart tractors, smart air conditioners, smart elevators, smart buildings, smart warehouses, robotic retail stores. The entire retail store is like a robot and they will all have autonomous capability, they'll all be driven by AI. And so what's new for the industry therefore is that all of the enterprises in the world used to have computers for IT to facilitate -- to host their employees and their supply chain, but in the future all of these industries whether you are in medical imaging or lawnmowers, you're going to have data centers that are hosting your products just like the CSPs and so that's a brand new industry and we have a platform that we call EGX, which is the 5G Edge AI systems and we have the autonomous system we call AGX, which is [Indecipherable] and between those two systems and the software stack that we have on top of it, we're in a great position to help these industries one at a time transform their business model from the object-oriented business model, a theme based business model to a connected device business model. Operator Your next question comes from the line o"
AAPL,"Jan 28, 2020, 5:00 p.m. ET",2020-Q1,"u view 5G capability in a handset? And what's your view as to what the killer app will be from a consumer perspective? Tim Cook -- Chief Executive Officer We don't comment on future products. And so, I'll try to sidestep a bit. With respect to 5G, I think it's -- we're in the early innings of its deployment on a global basis. We obviously couldn't be prouder of our lineup and is -- and are very excited about our pipeline as well and wouldn't trade our position for anybody. Tejas Gala -- Senior Analyst, Corporate Finance and Investor Relations Thanks, Katy. Can we have the next question please? Operator We'll hear from Kyle McNealy with Jefferies. Kyle McNealy -- Jefferies -- Analyst Hi, thanks a lot. So we're seeing some signs of new spectrum being deployed for 5G deployments and even additional 4G capacity, and it's already having a positive impact for handset upgrades to use that new capacity. Do you get the sense that wireless carriers are getting more incentivized to upgrade handsets to get leverage out of these new network investments? How much might this be helping and do you think it will continue to accelerate? Tim Cook -- Chief Executive Officer I think that we've had some great partners, not only in the US, but also around the world that was really helpful this quarter as partners. And so, I think probably a part of that is the level of investments they have and then a part of it is probably making sure that those customers stick with them in an environment where there's a lot of trading back and forth. So I'm optimistic that it will continue. Kyle McNealy -- Jefferies -- Analyst Okay, great. And then the comment that you made about capacity in your Wearables division with AirPods Pro and Apple Watch 3, what should we think about the timeline of when there is capacity constraints might be alleviated and will they come from capacity additions or the natural work out of kind of unit shipments and something on the demand side? Tim Cook -- Chief Executive Officer I'm hopeful that the Series 3 will come into balance during this quarter on AirPods Pro. I don't have an estimate for that for you. I just can't predict when at this point. We seem to be fairly substantially off there, and we're working very hard to put in additional capacity. Tejas Gala -- Senior Analyst, Corporate Finance and Investor Relations Thanks, Kyle. Can we have the next question please? Operator Yes, Wamsi Mohan, Bank of America. Wamsi Mohan -- Bank of America -- Analyst Yes. Thank you. Tim, Apple has a very valuable installed base of users. Can you see a future where Apple can become larger in the advertising market as you build out TV+ given you could have the unique position and ability to drive targeted ads to users without compromising on privacy? Tim Cook -- Chief Executive Officer I think it's -- I think it is possible to have advertising in a straightforward manner that doesn't encroach on people's privacy. I wouldn't want to conjecture about us in that business. I think for the TV+ business, we feel strongly that what that customer wants is an ad free product. And so, that's not our aversion to ads. It's what we believe that the customer wants. Wamsi Mohan -- Bank of America -- Analyst Okay, thank you. And Luca, can you just clarify if the Services revenue this quarter had any impact of deferrals associated with TV+ at all and how can you help us maybe size the impact of the amortization of the content cost associated with TV+ as we think about the next couple of years? Thank you. Luca Maestri -- Senior Vice President & Chief Financial Officer Yeah. So yes, of course, we launched the service. And so, there was a very small contribution to revenue from the deferral, and there was also contribution to revenue from the people, the subscribers that are actually paying for the service. When you think about what goes into the Apple TV+ revenue at this point, there are two components, the paid subscribers. These are customers that pay for the service. And we recognize revenue over the subscription period. And then, we've got the, what we call,"
NVDA,"Aug 15, 2019, 5:30 p.m. ET",2020-Q2,"s and they use it for 3D content creation and high-definition video editing and image optimization and things like that and we introduced a brand new line of computers that we call RTX Studio. Now the OEMs were so excited about it and at SIGGRAPH, we now have 27 different laptops shipping and more coming, and so I think RTX is really geared for growth. We have a great games coming, we got the SUPER line of GPUs. We have -- all of our notebooks that were designed into that we're ramping and of course the new RTX Studio line. And so I expect this to be a growth market for us. C.J. Muse -- Evercore ISI -- Analyst Very helpful. If I could follow up on the data center side, perhaps you could speak directly just to the Hyperscale side both internal and cloud and whether, you're seeing any green shoots, any signs of life there and how you're thinking about what that rate of recovery could look like over time? Jensen Huang -- President and Chief Executive Officer With the exception of a couple of hyperscalers, C.J., we are seeing broad based growth in data centers. In the area of training, the thing that's really exciting everybody and everybody is racing toward is training these large gigantic natural language understanding models, language models. The Transformer model that was, that was introduced by Google called BERT has since been enhanced into XLNet and RoBERTa and, gosh, so many different -- GPT-2 and Microsoft's Mass [Phonetic] and there is so many different, different versions of these language models. And in AI, NLU natural language understanding is one of the most important areas that everybody is racing to go do, and so these models are really, really large, it's over a 1,000 times larger than image models that we were training just a few years ago and they're just gigantic models. It's one of the reasons why we built the DGX SuperPOD so that we could train these gigantic models in a reasonable amount of time. The second -- the second area, so that's training in the hyperscalers. The second area, where we're seeing enormous amounts of activity it has to do with trying to put these conversational AI models into services so that they could be interactive and in real time, whereas photo tagging and photo enhancement is something that you could put offline and you could do that while you have excess capacity when it's off the -- off the most most busy time of the day, you can't do that with language and conversational AI, you've got to respond to the person in real time. And so the performance that's required is significant, but more importantly, the number of models necessary for conversational AI from speech recognition to language understanding to recommendation systems to text to speech to wave synthesis these five, six, seven models have to be processed in real time in series and in real time, so that you can have a reasonable conversation with the AI agent and so these type of activities is really driving interest and activity at all of the hyperscalers. My expectation is that this is going to continue to be a big, big growth opportunity for us. But more importantly, in addition to that, we're seeing that AI is -- the wave of AI is going from the cloud to the enterprise to the edge and all the way out to the autonomous systems. The place where we're seeing a lot of excitement and we talked about that in the past and we're seeing growth there has to do with the vertical industry enterprises that are starting to adopt AI to create new products, whether it's a delivery robot or some kind of a Chatbot or the ability to detect fraud in financial services. These applications in vertical industries are really spreading all over the place, there is some over 4,000 AI start-ups around the world, and the way that we engage them as we -- they use our platform to start developing AI in the cloud, and as you know, we're the only AI platform that's available on-prem and in every single cloud and so they could use our AI -- AI platforms for in all the clouds, which is driving our cloud computing, external cloud computing growth."
TSLA,"Apr 29, 2020, 6:30 p.m. ET",2020-Q1,"o look closely at our cost structure and to be more efficient as a company. That's -- one always has to do that in a crisis, and just thinking about our core beliefs and what do we want to do. And we came to a conclusion that, that the right move was actually to continue to expand rapidly, continue to invest in the future and in new technologies, even though it is risky. And we've talked to some of our key investors, and they support that approach as well. So I think that there's clearly an uncertain future ahead. It's a bit of a bumpy road. But I think the long-term prospects are extremely good. Anything you guys want to add? Zachary J. Kirkhorn -- Chief Financial Officer Yeah, I agree with that, Elon. The prioritization on the key projects will enable us to execute more efficiently and faster on them, which I think is great. The other one that I would add is, it's always been our vision at Tesla to improve the customer experience and make that as digital as possible. Elon Musk -- Co-Founder and Chief Executive Officer Yeah. Touchless delivery. Zachary J. Kirkhorn -- Chief Financial Officer Yeah, So touchless delivery, mobile service touchless sales has been something that we've been very focused on and made a lot of progress on. Elon Musk -- Co-Founder and Chief Executive Officer Yeah. Tesla is the only car that you can literally order in less than five minutes on your phone, you can order a car and have it delivered to your doorstep with all the paper and everything done. That's it. Effortless. Zachary J. Kirkhorn -- Chief Financial Officer And many customers do that. Elon Musk -- Co-Founder and Chief Executive Officer And they're doing it, yes. In fact, a big part of it is just trying to communicate to people that this is something you can do, because normally, buying a car is quite a pain -- for most people, they would rather go to the dentist than buy a new car. Actually, my dentist is very -- but it's really like quite an arduous thing. When the typical retail experience for buying a new car is more painful to people than having a root canal done, you have to say, well -- and for Tesla, it is completely as easy as ordering something from the Apple App Store or something on Amazon and, except it's a car. Yeah. All right. And five minutes is a, if you really went fast, I think you could order a car probably in 90 seconds, so. Martin Viecha -- Senior Director for Investor Relations Thank you. The next question from institutional investor is, can you give us a brief preview of the Battery Day by generally highlighting steps Tesla is taking to improve self energy density and time line for introduction? Elon Musk -- Co-Founder and Chief Executive Officer Yeah. Actually, we were just -- we don't want to pre-empt Battery Day. We want to -- leave the exciting news for that day, but there will be a lot of exciting news to tell. And I think it would be one of the most exciting days in Tesla's history and we're just trying to figure out the right timing for that. We think probably the right timing will be the -- probably the third week of May. Not giving a firm date, but we think that probably that's the right timing. And depending upon what we're allowed to do, it will either be in California or Texas. Martin Viecha -- Senior Director for Investor Relations Okay. And the last question from institutional investors, could you please update on progress stores development and commercialization of Full Self-Driving? How much revenue have you recognized so far? Zachary J. Kirkhorn -- Chief Financial Officer So there is a couple of things on the financials for Full Self-Driving. And so, currently, in North America, it's sold for $7,000 as an option. We take roughly half of that as revenue, and the other half of it goes into deferred revenue. That's associated with features that will be released with time. Our deferred revenue balance is continuing to grow. It's a little bit over $600 million. And so as we release features with time, at the end of every quarter, we take a look at what features have been released, associated value an"
